scheduler,topology,comm_plan,workload,placement_mode,placement_objective,job_id,model,ranks,trace_start_s,sim_start_s,sim_finish_s,jct_s,comm_s,compute_s,tensor_gib,intensity,placement
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,3,synthetic,8,0.000000,0.000000,55.860443,55.860443,54.664109,0.299084,9.096861,32658700195.001358,6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,4,synthetic,8,0.000000,0.000000,59.989345,59.989345,58.288343,0.283500,9.638824,36506519330.634674,0:0;0:1;0:2;0:3;1:0;1:1;1:2;1:3
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,5,synthetic,8,0.000000,0.000000,17.139776,17.139776,10.260865,1.658161,0.797007,516101780.945749,0:0;1:0;2:0;3:0;0:1;1:1;2:1;3:1
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,6,synthetic,8,0.000000,0.000000,61.796453,61.796453,60.398028,0.366447,10.371652,30390390190.311924,6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,7,synthetic,8,0.000000,0.000000,66.655407,66.655407,64.232358,0.427910,10.470158,26272467870.272526,2:0;3:0;0:0;1:0;2:1;3:1;0:1;1:1
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,8,synthetic,8,0.000000,0.000000,23.178321,23.178321,18.523068,1.292181,1.515434,1259254399.633792,2:2;3:2;2:3;3:3;0:2;1:2;2:0;3:0
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,9,synthetic,8,0.000000,0.000000,62.581708,62.581708,61.238388,0.337768,10.753814,34185608902.838707,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,10,synthetic,8,0.000000,0.000000,67.164387,67.164387,65.147927,0.336077,11.256473,35963653528.793274,2:0;2:1;2:2;2:3;3:0;3:1;3:2;3:3
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,11,synthetic,8,0.000000,0.000000,23.888099,23.888099,18.485825,1.171837,1.348916,1235997695.369468,0:3;1:3;2:1;3:1;0:0;1:0;2:1;3:1
crux,three_tier_clos,ring,synthetic,optimize,balanced,0,synthetic,8,0.000000,0.000000,53.522202,53.522202,52.202144,0.330015,8.594861,27964405134.098450,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3
crux,three_tier_clos,ring,synthetic,optimize,balanced,1,synthetic,8,0.000000,0.000000,63.114547,63.114547,60.850210,0.495209,9.277925,20116950358.263126,2:2;3:2;0:2;1:2;2:3;3:3;0:3;1:3
crux,three_tier_clos,ring,synthetic,optimize,balanced,2,synthetic,8,0.000000,0.000000,15.120328,15.120328,9.334915,1.265609,0.716645,608001173.609735,0:1;1:1;2:2;3:2;0:3;1:3;2:3;3:3
crux,three_tier_clos,ring,synthetic,optimize,balanced,3,synthetic,8,0.000000,0.000000,55.860443,55.860443,54.664109,0.299084,9.096861,32658700195.001358,6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3
crux,three_tier_clos,ring,synthetic,optimize,balanced,4,synthetic,8,0.000000,0.000000,59.989345,59.989345,58.288343,0.283500,9.638824,36506519330.634674,0:0;0:1;0:2;0:3;1:0;1:1;1:2;1:3
crux,three_tier_clos,ring,synthetic,optimize,balanced,5,synthetic,8,0.000000,0.000000,17.139776,17.139776,10.260865,1.658161,0.797007,516101780.945749,0:0;1:0;2:0;3:0;0:1;1:1;2:1;3:1
crux,three_tier_clos,ring,synthetic,optimize,balanced,6,synthetic,8,0.000000,0.000000,61.796453,61.796453,60.398028,0.366447,10.371652,30390390190.311924,6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3
crux,three_tier_clos,ring,synthetic,optimize,balanced,7,synthetic,8,0.000000,0.000000,66.655407,66.655407,64.232358,0.427910,10.470158,26272467870.272526,2:0;3:0;0:0;1:0;2:1;3:1;0:1;1:1
