scheduler,topology,comm_plan,workload,placement_mode,placement_objective,job_id,model,ranks,trace_start_s,sim_start_s,sim_finish_s,jct_s,comm_s,compute_wait_s,compute_s,tensor_gib,intensity,placement
place_only,three_tier_clos,ring,synthetic,optimize,balanced,8,synthetic,16,140.250495,140.250495,145.735703,5.485208,1.608665,0.000000,1.292181,1.515434,1259254399.633792,6:0;6:1;6:2;6:3;6:4;6:5;6:6;6:7;7:0;7:1;7:2;7:3;7:4;7:5;7:6;7:7
place_only,three_tier_clos,ring,synthetic,optimize,balanced,9,synthetic,16,0.000000,0.000000,22.175837,22.175837,21.162532,0.000000,0.337768,10.753814,34185608902.838707,6:0;6:1;6:2;6:3;6:4;6:5;6:6;6:7;7:0;7:1;7:2;7:3;7:4;7:5;7:6;7:7
place_only,three_tier_clos,ring,synthetic,optimize,balanced,10,synthetic,16,0.000000,0.000000,22.759442,22.759442,21.751212,0.000000,0.336077,11.256473,35963653528.793274,4:0;4:1;4:2;4:3;4:4;4:5;4:6;4:7;5:0;5:1;5:2;5:3;5:4;5:5;5:6;5:7
place_only,three_tier_clos,ring,synthetic,optimize,balanced,11,synthetic,16,165.068342,165.068342,170.018329,4.949987,1.434476,0.000000,1.171837,1.348916,1235997695.369468,2:0;2:1;2:2;2:3;2:4;2:5;2:6;2:7;3:0;3:1;3:2;3:3;3:4;3:5;3:6;3:7
place_only,three_tier_clos,ring,synthetic,optimize,balanced,12,synthetic,16,108.600086,108.600086,119.752328,11.152241,9.693406,0.000000,0.486278,9.244129,20411778123.156746,0:0;0:1;0:2;0:3;0:4;0:5;0:6;0:7;1:0;1:1;1:2;1:3;1:4;1:5;1:6;1:7
place_only,three_tier_clos,ring,synthetic,optimize,balanced,13,synthetic,16,85.710453,85.710453,96.500467,10.790014,9.696146,0.000000,0.364623,8.787376,25877072630.473759,4:0;4:1;4:2;4:3;4:4;4:5;4:6;4:7;5:0;5:1;5:2;5:3;5:4;5:5;5:6;5:7
place_only,three_tier_clos,ring,synthetic,optimize,balanced,14,synthetic,16,162.605318,162.605318,166.729333,4.124015,0.567968,0.000000,1.185349,0.520569,471554361.091303,4:0;4:1;4:2;4:3;4:4;4:5;4:6;4:7;5:0;5:1;5:2;5:3;5:4;5:5;5:6;5:7
place_only,three_tier_clos,ring,synthetic,optimize,balanced,15,synthetic,16,45.885256,45.885256,61.547721,15.662465,14.503925,0.000000,0.386180,10.068517,27994678241.121250,2:0;2:1;2:2;2:3;2:4;2:5;2:6;2:7;3:0;3:1;3:2;3:3;3:4;3:5;3:6;3:7
place_only,three_tier_clos,ring,synthetic,optimize,balanced,16,synthetic,16,120.771666,120.771666,131.409499,10.637833,9.170009,0.000000,0.489275,8.743782,19188741088.109432,4:0;4:1;4:2;4:3;4:4;4:5;4:6;4:7;5:0;5:1;5:2;5:3;5:4;5:5;5:6;5:7
place_only,three_tier_clos,ring,synthetic,optimize,balanced,17,synthetic,16,149.984903,149.984903,154.717919,4.733017,1.002336,0.000000,1.243560,0.935807,808014853.340134,6:0;6:1;6:2;6:3;6:4;6:5;6:6;6:7;7:0;7:1;7:2;7:3;7:4;7:5;7:6;7:7
place_only,three_tier_clos,ring,synthetic,optimize,balanced,18,synthetic,16,108.249232,108.249232,118.006597,9.757366,8.285143,0.000000,0.490741,7.897884,17280578825.862865,6:0;6:1;6:2;6:3;6:4;6:5;6:6;6:7;7:0;7:1;7:2;7:3;7:4;7:5;7:6;7:7
place_only,three_tier_clos,ring,synthetic,optimize,balanced,19,synthetic,16,78.642755,78.642755,87.840151,9.197397,8.263204,0.000000,0.311397,7.417540,25576712651.024464,6:0;6:1;6:2;6:3;6:4;6:5;6:6;6:7;7:0;7:1;7:2;7:3;7:4;7:5;7:6;7:7
place_only,three_tier_clos,ring,synthetic,optimize,balanced,20,synthetic,16,156.240113,156.240113,161.370552,5.130439,0.831245,0.000000,1.433065,0.772251,578618928.820329,0:0;0:1;0:2;0:3;0:4;0:5;0:6;0:7;1:0;1:1;1:2;1:3;1:4;1:5;1:6;1:7
place_only,three_tier_clos,ring,synthetic,optimize,balanced,21,synthetic,16,0.000000,0.000000,23.111216,23.111216,22.084621,0.000000,0.342198,11.604968,36413792148.431976,2:0;2:1;2:2;2:3;2:4;2:5;2:6;2:7;3:0;3:1;3:2;3:3;3:4;3:5;3:6;3:7
place_only,three_tier_clos,ring,synthetic,optimize,balanced,22,synthetic,16,72.322318,72.322318,82.984461,10.662143,9.536137,0.000000,0.375335,9.093786,26015083443.504391,0:0;0:1;0:2;0:3;0:4;0:5;0:6;0:7;1:0;1:1;1:2;1:3;1:4;1:5;1:6;1:7
place_only,three_tier_clos,ring,synthetic,optimize,balanced,23,synthetic,16,145.791830,145.791830,152.450898,6.659068,1.437999,0.000000,1.740356,1.352284,834314197.659992,0:0;0:1;0:2;0:3;0:4;0:5;0:6;0:7;1:0;1:1;1:2;1:3;1:4;1:5;1:6;1:7
